"grid","year","effort","catch.kg","depth","slope","swept.area.km2","grid.area.km2"
"184",2000,1,0,507.296,6.592,2.2224,272.642969007431
"245",2000,1,0,547.945,5.067,7.3617,273.824376867264
"245",2000,1,0,664.712,6.608,2.5002,273.824376867264
"245",2000,1,0,599.911,4.135,3.0558,273.824376867264
"307",2000,1,0,400.503,3.561,5.0004,550.000548195953
"308",2000,1,0,476.393,2.435,1.59272,550.000548195953
"308",2000,1,0,332.753,1.482,3.3336,550.000548195953
"308",2000,1,0,437.097,1.647,6.5283,550.000548195953
"308",2000,1,0,458.469,0.798,4.247253334,550.000548195953
"308",2000,1,0,558.804,3.513,4.0281,550.000548195953
"308",2000,1,0,476.393,2.435,3.619425334,550.000548195953
"308",2000,1,0,558.804,3.513,4.0281,550.000548195953
"308",2000,1,0,1287.28,0.623,9.723,550.000548195953
"309",2000,1,0,565.049,0.158,5.802933334,550.000548195953
"309",2000,1,0,458.469,0.798,4.884341334,550.000548195953
"309",2000,1,0,710.764,1.854,5.467104,550.000548195953
"309",2000,1,0,614,1.943,4.77816,550.000548195953
"309",2000,1,0,477.061,1.418,7.16724,550.000548195953
"369",2000,1,0,510.7,1.669,2.6391,552.341922687103
"370",2000,1,0,510.7,1.669,2.3613,552.341922687103
"370",2000,1,0,458.469,0.798,9.030352,552.341922687103
"370",2000,1,0,263.652,2.173,3.849073334,552.341922687103
"370",2000,1,0,477.061,1.418,7.6395,552.341922687103
"370",2000,1,0,236.435,2.14,5.383146666,552.341922687103
"370",2000,1,0,710.764,1.854,11.414493334,552.341922687103
"370",2000,1,0,169.667,0.38,12.038,552.341922687103
"370",2000,1,0,332.753,1.482,6.5283,552.341922687103
"370",2000,1,0,565.049,0.158,5.4171,552.341922687103
"370",2000,1,0,597.515,3.295,8.334,552.341922687103
"371",2000,1,0,412.646,1.519,6.97278,552.341922687103
"371",2000,1,0,512.13,0.51,4.79668,552.341922687103
"371",2000,1,0,473.971,0.766,4.22256,552.341922687103
"371",2000,1,0,329.327,0.836,11.266333334,552.341922687103
"371",2000,1,350,501.855,0.853,8.334,552.341922687103
"371",2000,1,0,394.991,1.182,8.8896,552.341922687103
"371",2000,1,0,477.061,1.418,9.1674,552.341922687103
"371",2000,1,0,511.476,1.386,12.75102,552.341922687103
"371",2000,1,0,361.3,1.519,10.8342,552.341922687103
"372",2000,1,0,378.196,0.554,7.74136,552.341922687103
"372",2000,1,0,366.644,1.402,5.0004,552.341922687103
"373",2000,1,0,831.543,0.795,5.08374,552.341922687103
"433",2000,1,0,226.534,2.593,4.512706666,554.67251167598
"434",2000,1,0,475.329,0.802,8.4729,554.67251167598
"434",2000,1,0,439.886,0.665,9.1674,554.67251167598
"436",2000,1,0,620.08,0.729,5.0004,554.67251167598
"436",2000,1,0,652.742,0.28,2.29648,554.67251167598
"437",2000,1,0,652.742,0.28,4.94484,554.67251167598
"438",2000,1,0,603.491,0.161,7.72284,554.67251167598
"439",2000,1,0,615.692,0.727,3.7503,554.67251167598
"439",2000,1,0,585.474,0.085,6.75054,554.67251167598
"440",2000,1,0,569.766,0.216,7.5006,554.67251167598
"440",2000,1,0,589.771,0.499,7.0839,554.67251167598
"440",2000,1,0,554.985,0.429,8.208064,554.67251167598
"440",2000,1,0,663.436,0.36,7.3617,554.67251167598
"440",2000,1,0,569.766,0.216,7.062293334,554.67251167598
"441",2000,1,0,631.094,0.272,7.55616,554.67251167598
"441",2000,1,0,659.244,0.499,7.44504,554.67251167598
"443",2000,1,0,508,3.41,4.94484,554.67251167598
"443",2000,1,0,531.548,1.319,7.33392,554.67251167598
"445",2000,1,0,526.067,0.781,0.5432533334,554.67251167598
"446",2000,1,0,600.307,1.063,6.91722,554.67251167598
"462",2000,1,0,507.781,4.037,7.61172,554.67251167598
"465",2000,1,0,581.672,1.435,6.3894,554.67251167598
"467",2000,1,0,558.056,0.625,6.69498,554.67251167598
"470",2000,1,0,459.913,0.486,6.72276,554.67251167598
"471",2000,1,0,492.428,0.167,6.97278,554.67251167598
"472",2000,1,0,353.18,2.804,1.3581333334,554.67251167598
"472",2000,1,0,581.517,1.033,9.4452,554.67251167598
"496",2000,1,0,415.316,0.785,7.3617,556.992274608704
"496",2000,1,0,480.711,0.315,6.1116,556.992274608704
"496",2000,1,0,353.786,1.061,4.3059,556.992274608704
"496",2000,1,0,370.051,1.227,10.8342,556.992274608704
"496",2000,1,0,377.654,0.749,9.0285,556.992274608704
"496",2000,1,0,403.344,0.543,3.66696,556.992274608704
"496",2000,1,0,312.84,1.717,0.5556,556.992274608704
"496",2000,1,0,354.084,0.587,4.36146,556.992274608704
"496",2000,1,0,452.527,0.808,12.9177,556.992274608704
"496",2000,1,0,264.613,1.514,5.2782,556.992274608704
"496",2000,1,0,480.711,0.315,6.5283,556.992274608704
"496",2000,1,0,353.786,1.061,3.0558,556.992274608704
"496",2000,1,0,507.778,0.625,6.482,556.992274608704
"496",2000,1,0,306.107,1.177,9.47298,556.992274608704
"496",2000,1,0,306.107,1.177,10.0008,556.992274608704
"496",2000,1,0,370.051,1.227,5.4171,556.992274608704
"497",2000,1,0,353.786,1.061,8.97294,556.992274608704
"497",2000,1,0,503.981,0.45,6.6672,556.992274608704
"497",2000,1,0,498.922,0.048,4.0281,556.992274608704
"497",2000,1,0,492.747,0.422,5.1393,556.992274608704
"497",2000,1,0,504.446,0.402,1.5279,556.992274608704
"497",2000,1,0,403.344,0.543,8.00064,556.992274608704
"497",2000,1,0,353.786,1.061,9.0285,556.992274608704
"497",2000,1,0,593.934,0.359,6.945,556.992274608704
"497",2000,1,0,455.499,0.138,5.8338,556.992274608704
