"grid","year","effort","catch.kg","depth","slope","swept.area.km2","grid.area.km2"
"184",2000,1,698,507.296,6.592,2.2224,272.642969007431
"245",2000,1,350,547.945,5.067,7.3617,273.824376867264
"245",2000,1,620,664.712,6.608,2.5002,273.824376867264
"245",2000,1,10,599.911,4.135,3.0558,273.824376867264
"307",2000,1,500,400.503,3.561,5.0004,550.000548195953
"308",2000,1,180,476.393,2.435,1.59272,550.000548195953
"308",2000,1,794,332.753,1.482,3.3336,550.000548195953
"308",2000,1,450,437.097,1.647,6.5283,550.000548195953
"308",2000,1,225,458.469,0.798,4.247253334,550.000548195953
"308",2000,1,1472,558.804,3.513,4.0281,550.000548195953
"308",2000,1,620,476.393,2.435,3.619425334,550.000548195953
"308",2000,1,216,558.804,3.513,4.0281,550.000548195953
"308",2000,1,22,1287.28,0.623,9.723,550.000548195953
"309",2000,1,440,565.049,0.158,5.802933334,550.000548195953
"309",2000,1,180,458.469,0.798,4.884341334,550.000548195953
"309",2000,1,583,710.764,1.854,5.467104,550.000548195953
"309",2000,1,22,614,1.943,4.77816,550.000548195953
"309",2000,1,82,477.061,1.418,7.16724,550.000548195953
"369",2000,1,1560,510.7,1.669,2.6391,552.341922687103
"370",2000,1,327,510.7,1.669,2.3613,552.341922687103
"370",2000,1,1332,458.469,0.798,9.030352,552.341922687103
"370",2000,1,0,263.652,2.173,3.849073334,552.341922687103
"370",2000,1,207,477.061,1.418,7.6395,552.341922687103
"370",2000,1,0,236.435,2.14,5.383146666,552.341922687103
"370",2000,1,18,710.764,1.854,11.414493334,552.341922687103
"370",2000,1,0,169.667,0.38,12.038,552.341922687103
"370",2000,1,0,332.753,1.482,6.5283,552.341922687103
"370",2000,1,455,565.049,0.158,5.4171,552.341922687103
"370",2000,1,1400,597.515,3.295,8.334,552.341922687103
"371",2000,1,298,412.646,1.519,6.97278,552.341922687103
"371",2000,1,80,512.13,0.51,4.79668,552.341922687103
"371",2000,1,412,473.971,0.766,4.22256,552.341922687103
"371",2000,1,0,329.327,0.836,11.266333334,552.341922687103
