"grid","year","effort","catch.kg","depth","slope","swept.area.km2","grid.area.km2"
"349",2000,1,11.3,922.657,0,0.284822784,550.000548195953
"371",2000,1,0,472.81,0.62,0.610759968,552.341922687103
"380",2000,1,0,749.313,0.231,0.6300504,552.341922687103
"381",2000,1,0,712.443,0.513,0.6372732,552.341922687103
"406",2000,1,7.3,933.966,1.786,0.06172716,552.341922687103
"406",2000,1,2.1,933.966,1.786,0.04302196,552.341922687103
"406",2000,1,2.7,999.567,1.527,0.07631166,552.341922687103
"406",2000,1,0,999.567,1.527,0.0563934,552.341922687103
"406",2000,1,17.7,933.966,1.786,0.153716,552.341922687103
"406",2000,1,0,999.567,1.527,0.10271192,552.341922687103
"406",2000,1,18.2,1003.68,0.394,0.39677248,552.341922687103
"406",2000,1,0,1003.68,0.394,0.50404032,552.341922687103
"406",2000,1,5.2,999.567,1.527,0.21201696,552.341922687103
"407",2000,1,13.9,965.968,0.151,0.13401072,552.341922687103
"408",2000,1,4.6,1002.19,1.52,0.290764,552.341922687103
"408",2000,1,7.3,1002.19,1.52,0.42181152,552.341922687103
"408",2000,1,0,1063.15,0.988,0.2811336,552.341922687103
"408",2000,1,5.1,1063.15,0.988,0.241026688,552.341922687103
"409",2000,1,7.7,838.964,0.749,0.11615744,552.341922687103
"434",2000,1,0,440.683,0.599,0.6133824,554.67251167598
"436",2000,1,32.2,668.589,0.169,0.590341668,554.67251167598
"437",2000,1,2.4,694.654,0.232,0.664482784,554.67251167598
"443",2000,1,0,540.593,0.312,0.57589792,554.67251167598
"448",2000,1,4.9,701.19,0.601,0.61116,554.67251167598
"454",2000,1,2.6,941.443,0.247,0.32802624,554.67251167598
"456",2000,1,0,1007.65,0.957,0.16097584,554.67251167598
"470",2000,1,0,441.619,0.12,0.65655252,554.67251167598
"472",2000,1,0,357.329,0.555,0.6122712,554.67251167598
"499",2000,1,3.9,595.317,0.125,0.6383844,556.992274608704
"503",2000,1,0,491.573,0.121,0.648233336,556.992274608704
"505",2000,1,0,243.975,2.145,0.5794908,556.992274608704
"506",2000,1,0,502.946,0.514,0.63828254,556.992274608704
"515",2000,1,3.1,967.817,1.237,0.279259376,556.992274608704
"515",2000,1,0,941.443,0.247,0.23334274,556.992274608704
"515",2000,1,0,941.443,0.247,0.172236,556.992274608704
"515",2000,1,0,863.057,4.758,0.121615284,556.992274608704
"515",2000,1,0,967.817,1.237,0.204183,556.992274608704
"515",2000,1,0,863.057,4.758,0.04239228,556.992274608704
"515",2000,1,0,967.817,1.237,0.248919912,556.992274608704
"515",2000,1,0,906.522,2.278,0.12356544,556.992274608704
"515",2000,1,0,906.522,2.278,0.01977936,556.992274608704
"515",2000,1,1.8,906.522,2.278,0.215335744,556.992274608704
"515",2000,1,2.1,878.334,0.975,0.25202016,556.992274608704
"515",2000,1,0,906.522,2.278,0.00392624,556.992274608704
"515",2000,1,4.5,941.443,0.247,0.18701496,556.992274608704
"515",2000,1,0,941.443,0.247,0.200893848,556.992274608704
"515",2000,1,7.2,941.443,0.247,0.23576886,556.992274608704
"515",2000,1,0,998,1.425,0.625976,556.992274608704
"515",2000,1,0,941.443,0.247,0.1755233,556.992274608704
"515",2000,1,0,967.817,1.237,0.116676,556.992274608704
"515",2000,1,0,967.817,1.237,0.608633872,556.992274608704
"515",2000,1,0,906.522,2.278,0.0977856,556.992274608704
"515",2000,1,0,941.443,0.247,0.100004296,556.992274608704
"515",2000,1,2.4,941.443,0.247,0.2928012,556.992274608704
"515",2000,1,2.6,941.443,0.247,0.0977856,556.992274608704
"518",2000,1,0,699.863,0.446,0.636052732,556.992274608704
"522",2000,1,0,454.384,0.162,0.633947008,556.992274608704
"525",2000,1,0,288.49,0.681,0.57589792,556.992274608704
"526",2000,1,0,293.026,0.12,0.605604,556.992274608704
"526",2000,1,0,424.216,0.145,0.5967144,556.992274608704
"527",2000,1,0,321.321,0.244,0.5289312,556.992274608704
"532",2000,1,0,291.843,0.405,0.67331312,556.992274608704
"532",2000,1,0,261.311,1.35,0.453491832,556.992274608704
"559",2000,1,0,508.082,0.379,0.42729344,559.301171182358
"560",2000,1,8.6,534.466,0.115,0.6078264,559.301171182358
"561",2000,1,0,476.726,0.258,0.59089912,559.301171182358
"564",2000,1,0,317.46,0.445,0.662252976,559.301171182358
"564",2000,1,0,280.271,0.004,0.600262832,559.301171182358
"564",2000,1,0,355.644,0.36,0.420878112,559.301171182358
"570",2000,1,4.2,448.984,0.242,0.595099456,559.301171182358
"570",2000,1,0,395.177,0.308,0.6450516,559.301171182358
"571",2000,1,5.8,514.702,0.188,0.625461144,559.301171182358
"573",2000,1,0,379.985,0.17,0.6633864,559.301171182358
"574",2000,1,0,498.27,0.25,0.6811656,559.301171182358
"575",2000,1,0,407.305,0.041,0.697003904,559.301171182358
"580",2000,1,3.9,467.919,0.228,0.630165224,559.301171182358
"580",2000,1,0,427.912,0.199,0.638471444,559.301171182358
"582",2000,1,0,393.071,1.27,0.6189384,559.301171182358
"583",2000,1,0,345.098,0.181,0.6100488,559.301171182358
"586",2000,1,0,313.141,0.15,0.6328284,559.301171182358
"591",2000,1,0,260.285,0.133,0.6272724,559.301171182358
"600",2000,1,0,509.075,0.438,0.599314608,559.301171182358
"602",2000,1,59.6,724.518,0.342,0.622322004,559.301171182358
"620",2000,1,3.6,631.347,0.471,0.583094792,561.599161345108
"620",2000,1,0,559.131,2.29,0.5922696,561.599161345108
"620",2000,1,0,584.921,0.309,0.665597688,561.599161345108
"621",2000,1,9.6,516.397,0.163,0.6394956,561.599161345108
"626",2000,1,0,275.382,0.101,0.5978256,561.599161345108
"626",2000,1,0,254.721,0.407,0.594264204,561.599161345108
"627",2000,1,0,297.19,0.706,0.6050484,561.599161345108
"627",2000,1,0,296.451,0.97,0.60204816,561.599161345108
