"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"349",2000,1,0,922.657,0.284822784,550.000548195953
"371",2000,1,0.4,472.81,0.610759968,552.341922687103
"380",2000,1,0,749.313,0.6300504,552.341922687103
"381",2000,1,0,712.443,0.6372732,552.341922687103
"406",2000,1,0,933.966,0.06172716,552.341922687103
"406",2000,1,0,933.966,0.04302196,552.341922687103
"406",2000,1,0,999.567,0.21201696,552.341922687103
"406",2000,1,0,1003.68,0.50404032,552.341922687103
"406",2000,1,0,1003.68,0.39677248,552.341922687103
"406",2000,1,0,999.567,0.10271192,552.341922687103
"406",2000,1,0,999.567,0.0563934,552.341922687103
"406",2000,1,0,933.966,0.153716,552.341922687103
"406",2000,1,0,999.567,0.07631166,552.341922687103
"407",2000,1,0,965.968,0.13401072,552.341922687103
"408",2000,1,0,1002.19,0.42181152,552.341922687103
"408",2000,1,0,1063.15,0.241026688,552.341922687103
"408",2000,1,0,1002.19,0.290764,552.341922687103
"408",2000,1,0,1063.15,0.2811336,552.341922687103
"409",2000,1,0,838.964,0.11615744,552.341922687103
"434",2000,1,0,440.683,0.6133824,554.67251167598
"436",2000,1,1.6,668.589,0.590341668,554.67251167598
"437",2000,1,0,694.654,0.664482784,554.67251167598
"443",2000,1,0,540.593,0.57589792,554.67251167598
"448",2000,1,0,701.19,0.61116,554.67251167598
"454",2000,1,0,941.443,0.32802624,554.67251167598
"456",2000,1,0,1007.65,0.16097584,554.67251167598
"470",2000,1,0.4,441.619,0.65655252,554.67251167598
"472",2000,1,4.3,357.329,0.6122712,554.67251167598
"499",2000,1,0,595.317,0.6383844,556.992274608704
"503",2000,1,1.7,491.573,0.648233336,556.992274608704
"505",2000,1,0,243.975,0.5794908,556.992274608704
"506",2000,1,0,502.946,0.63828254,556.992274608704
"515",2000,1,0,941.443,0.2928012,556.992274608704
"515",2000,1,0,941.443,0.18701496,556.992274608704
"515",2000,1,0,941.443,0.23334274,556.992274608704
"515",2000,1,0,941.443,0.0977856,556.992274608704
"515",2000,1,0,906.522,0.215335744,556.992274608704
"515",2000,1,0,941.443,0.200893848,556.992274608704
"515",2000,1,0,863.057,0.04239228,556.992274608704
"515",2000,1,0,941.443,0.23576886,556.992274608704
"515",2000,1,0,906.522,0.12356544,556.992274608704
"515",2000,1,0,941.443,0.1755233,556.992274608704
"515",2000,1,0,906.522,0.0977856,556.992274608704
"515",2000,1,0,967.817,0.608633872,556.992274608704
"515",2000,1,0,941.443,0.172236,556.992274608704
"515",2000,1,0,878.334,0.25202016,556.992274608704
"515",2000,1,0,941.443,0.100004296,556.992274608704
"515",2000,1,0,998,0.625976,556.992274608704
"515",2000,1,0,967.817,0.248919912,556.992274608704
"515",2000,1,0,967.817,0.279259376,556.992274608704
"515",2000,1,0,906.522,0.00392624,556.992274608704
"515",2000,1,0,967.817,0.204183,556.992274608704
"515",2000,1,0,967.817,0.116676,556.992274608704
"515",2000,1,0,906.522,0.01977936,556.992274608704
"515",2000,1,0,863.057,0.121615284,556.992274608704
"518",2000,1,0,699.863,0.636052732,556.992274608704
"522",2000,1,3.8,454.384,0.633947008,556.992274608704
"525",2000,1,0,288.49,0.57589792,556.992274608704
"526",2000,1,6.3,293.026,0.605604,556.992274608704
"526",2000,1,1,424.216,0.5967144,556.992274608704
"527",2000,1,4,321.321,0.5289312,556.992274608704
"532",2000,1,0,261.311,0.453491832,556.992274608704
"532",2000,1,0.2,291.843,0.67331312,556.992274608704
"559",2000,1,0.3,508.082,0.42729344,559.301171182358
"560",2000,1,0,534.466,0.6078264,559.301171182358
"561",2000,1,0.1,476.726,0.59089912,559.301171182358
"564",2000,1,0,280.271,0.600262832,559.301171182358
"564",2000,1,0,317.46,0.662252976,559.301171182358
"564",2000,1,3.4,355.644,0.420878112,559.301171182358
"570",2000,1,0,448.984,0.595099456,559.301171182358
"570",2000,1,0,395.177,0.6450516,559.301171182358
